SRA ID,Actual MIC
ERR2091407,1.0
ERR3808883,34
ERR2091348,0.25
ERR2091342,0.25
ERR2091337,128
ERR3808897,30
ERR3808868,18
ERR2091416,0.125
ERR3808898,16
ERR2091361,64.0
ERR2091338,1.0
ERR3808872,30
ERR3808867,12
ERR2091333,0.5
ERR2091311,16
ERR2091355,4
ERR2091321,0.25
ERR3808873,15
ERR2091304,4.0
ERR2091406,0.125
ERR2091427,0.06
ERR2091421,32
ERR2091430,0.015
ERR3808872,14
ERR2091344,0.5
ERR2091398,8
ERR2091415,0.125
ERR2931017,32
ERR3808910,6
ERR2931033,0.5
ERR2091354,4
ERR2091345,0.25
ERR2091325,32.0
ERR2091426,0.03
ERR2091328,0.25
ERR2091328,64.0
ERR2091317,16
ERR3808922,6
ERR3808890,20
ERR3808891,34
ERR2091349,0.03
ERR2931013,1
ERR3808871,6
ERR3808903,29
ERR2091326,1.0
ERR2091324,64.0
ERR2091336,1
ERR2091417,0.03
ERR2091310,0.5
ERR2931002,0.25
ERR2091326,64.0
ERR2091336,8.0
ERR2091409,64
ERR3808913,6
ERR3808874,23
ERR3808872,23
ERR3808912,8
ERR2091338,1024.0
ERR3808868,24
ERR2931021,8
ERR3808900,12
ERR3808926,22
ERR2931021,1
ERR3808890,6
ERR2091404,64
ERR3808919,10
ERR3808876,31
ERR2091313,0.03
ERR3808923,15
ERR2931013,4
ERR2091356,64
ERR3808892,22
ERR2091344,0.25
ERR2091416,64
ERR3808868,31
ERR2091313,1024.0
ERR2091327,32.0
ERR3808928,31
ERR2091315,0.015
ERR2091363,0.03
ERR2091359,0.03
ERR2091338,2
ERR2091355,64.0
ERR2091399,0.03
ERR2091327,0.25
ERR2091317,0.25
ERR3808889,6
ERR2091425,0.015
ERR3808896,26
ERR2091413,8.0
ERR2931021,0.25
ERR2091415,1
ERR2091428,0.015
ERR3808903,23
ERR3808883,8
ERR3808924,6
ERR2091320,8.0
ERR3808893,6
ERR2091329,0.5
ERR3808910,8
ERR3808890,28
ERR2091397,8.0
ERR3808915,25
ERR2091332,4.0
ERR2091319,0.25
ERR3808926,6
ERR2091355,8
ERR2091411,0.5
ERR3808892,19
ERR2091422,8
ERR3808870,32
ERR3808867,22
ERR3808923,6
ERR2091310,0.03
ERR2091335,1.0
ERR2091355,1
ERR2931008,0.25
ERR2091347,64.0
ERR2931017,8
ERR2091327,4
ERR2091314,32
ERR3808876,20
ERR3808920,6
ERR2091410,0.03
ERR3808891,26
ERR2091406,1
ERR2931025,8
ERR2091398,64.0
ERR2091317,0.5
ERR2091419,64.0
ERR2091360,8.0
ERR2091358,32
ERR3808899,25
ERR2091419,1024.0
ERR2091337,0.25
ERR2091343,0.5
ERR2091364,8
ERR2091325,64.0
ERR2091324,0.25
ERR2091344,16
ERR2091305,8
ERR3808912,6
ERR2091355,1024.0
ERR3808928,9
ERR2091327,1
ERR3808901,30
ERR2091314,1024.0
ERR2091317,0.25
ERR2091349,1.0
ERR2091330,32.0
ERR2091426,0.015
ERR3808913,6
ERR2091335,32
ERR3808887,26
ERR2091399,0.5
ERR2091406,8.0
ERR3808918,29
ERR3808894,6
ERR2091319,0.5
ERR2091429,4.0
ERR2091326,4.0
ERR3808915,15
ERR2091334,8.0
ERR3808878,21
ERR2091404,0.25
ERR3808891,27
ERR2091342,64
ERR2091402,0.25
ERR2091311,32
ERR2091316,1.0
ERR3808878,6
ERR2091352,2
